mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.92,0,1.0,10.0,-1003.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.89,0,5.0,4.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.89,0,5.0,4.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.9,0,-1.0,10.0,-997.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.91,0,6.0,4.0,-1003.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.91,0,6.0,4.0,-1003.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.91,0,0.0,4.0,-997.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.93,0,-1.0,8.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.92,0,6.0,5.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.92,0,6.0,5.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.87,0,0.0,4.0,-1000.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.88,0,-1.0,10.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.92,0,5.0,7.0,-998.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.92,0,5.0,7.0,-998.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.89,0,-1.0,9.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.94,0,2.0,7.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.94,0,2.0,7.0,-1001.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.93,0,4.0,5.0,-997.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.9,0,-1.0,6.0,-998.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.94,0,0.0,7.0,-999.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,82,6553,0,13,398.94,0,0.0,7.0,-999.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,81,6553,0,13,398.92,0,5.0,6.0,-1002.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,81,6553,0,13,398.91,0,0.0,4.0,-995.0
-1,-100,-100,-100,"0,0,0",0,0,-18,0,0,0,80,81,6553,0,13,398.94,0,2.0,7.0,-1001.0
